Account,Token Account,Quantity,Percentage
Heu95ZE8z3MrMQXuCfotC1tpqUC8ZUpFWiKgon1Ez9sQ,4fMn3TtMCKL7XAtnLmCsDP9StMCrAuBnWM3M2kkTW9ox,15000,0.00
DQyjYccX86dD7gZCWCifZZ62FKQX1gtUGt8bZtWdMU3G,8gNXGp1qrYVJzVcdYDAZrpzL4E36WsGch5m1i6iGxUfX,15000,0.00
7gNFr18Ly5HVKRwuDUVJYWaXmjWNLphqaYBMZtyH9zsp,6417ZdURdyVVBR4AFPDn8pBrgBdCcGom1QwawMChcbaQ,15000,0.00
9CEC3M4oAZRw84n8G1coN1nbfWQpfvR5SgYnoW5XUvWY,B8TW6HSKJukrJfxwWsiaUJbFqVEKL61AAfCa3JZbg2UN,15000,0.00
5vnfe7YjNg4V5EZM8zs8vYr12vxKdezpVe4m2ikC7V3c,AT7kL3EJiRmqRFswLWkv4899i4ti6woi6fag61DGeBqR,15000,0.00
77R4w6bDdkdF1DyNJtQNVu4i6dFx5W3yPuoCSySX7NTV,6jSQq1sPRsZtkpPHmwdpuDNJHTJsSEcxmyeWiq2dCYcd,15000,0.00
Ei6uMAJcdYXc52mfBUoioNUnC65ed5gFvPRmYc1vGPK,EZokauWdiA73SehTi8hkWxj7GLPpJ1auPqEtQPxujfbW,12680,0.00
4y3vRDAYeA3bXrkxwLwiecqK7ess2kCiR22HJ9szkBUp,7eMGhNW2Sq5VYxwanHAqs5SuQyeReGa1pAFdBFPJ8J1a,12644.505642,0.00
69yhtoJR4JYPPABZcSNkzuqbaFbwHsCkja1sP1Q2aVT5,EYQjUeLVVveUYfuUpu9R9wccrrZUuRSKaMYTf5yg4Kt1,12243.497221,0.00
21SEx6QjACVaSM5fLjKcVt2rcarfEEeYZzvqWKWnNuag,HCx5i1jJhnG341zdWK6r2Si4KVwDrA3AKDt51JkruapF,11570.455275,0.00
AsRy9Mzmt5HNFJdHJ3Q42yipqXwmPni5ndKCg5zEHj25,37j2Skh6RdUFM94KVFy7tsqphSvF7g173L9xBJzeHgh6,8808.21897,0.00
D9GYt4W7VvteKCSvTgyjzuiBJyTy94Kmr6YiC9fbxGjW,XGggdnHH4uMcCkBjZL9ucv95o339Gfktc8b9ghx6jxV,7052.871401,0.00
A2je2iEowMDbuz1ntAscUHngUMGsYW1oNfNTNqHGkCBf,GKoBL4Rb3gfszKphnRkcpo6NcjhrmWZvu4cMgQ8hEKpW,6841.809257,0.00
Cig9r99ULVYLwC8NLUEdMq3ocME5xoxqwZfinuX8bEFw,36yMJEsokBaQCGok4YZRyE8gRvj6iMxWuU9FH6FNvRN7,6680.530703,0.00
CvrgbuwAXP2FXgdEZ5csw4vpdz3X5Vqgorm2XXsJtLYE,52a5HE1VnrnqdJoG48D7QBi6Tka8pgk3W9XmYY1b5yZV,6008.539948,0.00
